epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,606.432,0.9794,0.69378,1.39498,0.99453,0.99308,0.99146,0.81974,0.7135,0.55046,1.18341,0.00144145,0.00144145,0.00144145
43,619.243,0.92641,0.66493,1.34964,0.99257,0.99363,0.99109,0.80564,0.72323,0.47522,1.15311,0.00143595,0.00143595,0.00143595
44,632.122,0.90531,0.69775,1.34223,0.99474,0.98962,0.99099,0.81953,0.70879,0.53558,1.16857,0.00143045,0.00143045,0.00143045
45,645.385,0.91111,0.66646,1.33453,0.99391,0.99308,0.99112,0.84166,0.65893,0.44201,1.11509,0.00142495,0.00142495,0.00142495
46,658.164,0.85961,0.62089,1.29169,0.99321,0.99215,0.98995,0.82551,0.68226,0.46211,1.15886,0.00141945,0.00141945,0.00141945
47,671.164,0.87475,0.63446,1.31047,0.99453,0.99572,0.993,0.80691,0.73201,0.46406,1.13951,0.00141395,0.00141395,0.00141395
48,684.608,0.85771,0.62971,1.30546,0.98767,0.99329,0.99091,0.85438,0.59931,0.46044,1.06476,0.00140845,0.00140845,0.00140845
49,697.415,0.86361,0.61715,1.31371,0.99036,0.99057,0.99173,0.82791,0.66935,0.46673,1.08512,0.00140295,0.00140295,0.00140295
50,710.69,0.85007,0.6057,1.29162,0.99072,0.99395,0.99293,0.8545,0.59673,0.45497,1.04575,0.00139745,0.00139745,0.00139745
51,723.158,0.87461,0.60432,1.28913,0.9913,0.99481,0.99221,0.8527,0.60416,0.45289,1.06043,0.00139195,0.00139195,0.00139195
52,736.982,0.82794,0.56585,1.25829,0.99269,0.99253,0.99179,0.85752,0.59852,0.42038,1.0567,0.00138644,0.00138644,0.00138644
53,750.574,0.85538,0.61404,1.29363,0.99505,0.99238,0.99066,0.82283,0.68055,0.47747,1.09107,0.00138094,0.00138094,0.00138094
54,764.592,0.84528,0.59902,1.28488,0.99337,0.99481,0.99104,0.84732,0.62692,0.39806,1.05414,0.00137544,0.00137544,0.00137544
